2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03151_03200.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03201_03250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03251_03300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03301_03350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03351_03400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03401_03450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03451_03500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03501_03550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03551_03600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03601_03650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03651_03700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03701_03750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03751_03800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03801_03850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03851_03900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03901_03950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03951_04000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04001_04050.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04051_04100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04101_04150.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04151_04200.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04201_04250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04251_04300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04301_04350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04351_04400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04401_04450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04451_04500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04501_04550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04551_04600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04601_04650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04651_04700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04701_04750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04751_04800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04801_04850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04851_04900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04901_04950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_04951_05000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_05001_05050.parquet (50 phrases)
